TakeFive Library 1OAS ABIR, 2.000
Speech Library 1OAS ABIR, 1.000
Speech Library 1OA ABIR, 0.380
TakeFive Library ABIR ABIR, 0.380
TakeFive Library 1OA 1OAS, -0.120
TakeFive Library ABIR 1OA, 0.660
Speech Library 1OA 1OAS, 0.100
Speech Library ABIR ABIR, -0.420
