TakeFive Library 2OA, 95
TakeFive Library 3OA, 92
TakeFive Library 4OA, 96
TakeFive Library direct, 40
TakeFive Library 0OA, 80
TakeFive Library 1OA, 85
Speech Trapezoid direct, 40
Speech Trapezoid 0OA, 70
Speech Trapezoid 2OA, 97
Speech Trapezoid 1OA, 92
Speech Trapezoid 4OA, 95
Speech Trapezoid 3OA, 97
TakeFive Trapezoid 2OA, 92
TakeFive Trapezoid 3OA, 95
TakeFive Trapezoid direct, 40
TakeFive Trapezoid 1OA, 80
TakeFive Trapezoid 0OA, 62
TakeFive Trapezoid 4OA, 93
Speech Library 4OA, 98
Speech Library 2OA, 80
Speech Library 1OA, 82
Speech Library 0OA, 60
Speech Library direct, 30
Speech Library 3OA, 90
