Speech Trapezoid direct, 80
Speech Trapezoid 4OA, 100
Speech Trapezoid 2OA, 96
Speech Trapezoid 1OA, 100
Speech Trapezoid 3OA, 100
Speech Trapezoid 0OA, 41
Speech Library 4OA, 97
Speech Library direct, 36
Speech Library 0OA, 19
Speech Library 3OA, 80
Speech Library 1OA, 40
Speech Library 2OA, 82
TakeFive Library 4OA, 100
TakeFive Library 3OA, 96
TakeFive Library direct, 49
TakeFive Library 1OA, 100
TakeFive Library 0OA, 93
TakeFive Library 2OA, 100
TakeFive Trapezoid 4OA, 100
TakeFive Trapezoid 2OA, 100
TakeFive Trapezoid 3OA, 100
TakeFive Trapezoid 1OA, 90
TakeFive Trapezoid 0OA, 80
TakeFive Trapezoid direct, 61
