Speech Library direct, 16
Speech Library 1OA, 68
Speech Library 3OA, 69
Speech Library 0OA, 73
Speech Library 4OA, 99
Speech Library 2OA, 73
TakeFive Library 0OA, 96
TakeFive Library 3OA, 98
TakeFive Library 1OA, 94
TakeFive Library 2OA, 96
TakeFive Library direct, 24
TakeFive Library 4OA, 87
TakeFive Trapezoid 2OA, 97
TakeFive Trapezoid 0OA, 75
TakeFive Trapezoid 1OA, 94
TakeFive Trapezoid 4OA, 96
TakeFive Trapezoid 3OA, 96
TakeFive Trapezoid direct, 34
Speech Trapezoid 2OA, 98
Speech Trapezoid 0OA, 68
Speech Trapezoid 4OA, 97
Speech Trapezoid 3OA, 98
Speech Trapezoid 1OA, 98
Speech Trapezoid direct, 27
