Speech Trapezoid 4OA, 97
Speech Trapezoid direct, 15
Speech Trapezoid 0OA, 50
Speech Trapezoid 3OA, 60
Speech Trapezoid 2OA, 98
Speech Trapezoid 1OA, 96
Speech Library 3OA, 85
Speech Library 0OA, 37
Speech Library 4OA, 100
Speech Library direct, 14
Speech Library 1OA, 59
Speech Library 2OA, 71
TakeFive Library 2OA, 100
TakeFive Library 1OA, 93
TakeFive Library direct, 74
TakeFive Library 0OA, 100
TakeFive Library 3OA, 100
TakeFive Library 4OA, 99
TakeFive Trapezoid 3OA, 98
TakeFive Trapezoid 4OA, 95
TakeFive Trapezoid 1OA, 86
TakeFive Trapezoid 2OA, 98
TakeFive Trapezoid direct, 21
TakeFive Trapezoid 0OA, 39
