Speech Trapezoid 0OA, 44
Speech Trapezoid 4OA, 97
Speech Trapezoid 3OA, 97
Speech Trapezoid 1OA, 98
Speech Trapezoid 2OA, 98
Speech Trapezoid direct, 1
TakeFive Library 3OA, 100
TakeFive Library 0OA, 100
TakeFive Library 2OA, 99
TakeFive Library direct, 62
TakeFive Library 1OA, 99
TakeFive Library 4OA, 99
Speech Library 1OA, 99
Speech Library 4OA, 54
Speech Library direct, 1
Speech Library 0OA, 17
Speech Library 2OA, 60
Speech Library 3OA, 100
TakeFive Trapezoid 0OA, 100
TakeFive Trapezoid 1OA, 99
TakeFive Trapezoid 4OA, 90
TakeFive Trapezoid 2OA, 100
TakeFive Trapezoid direct, 2
TakeFive Trapezoid 3OA, 100
